position_type,company_type,hashedid,,,,,,,,,,,,,
engineer,tech,058b92d6c47c4f8e29b302b30a1fff4a21ba9d36,,,,,,,,,,,,,
executive_or_management,finance,e943ba6d3c0eb8589df32a873ab5772c8f77c68f,,,,,,,,,,,,,
marketing_sales,Unknown,07722a6692fb28485ddaf84979322fb5a78d0926,,,,,,,,,,,,,
marketing_sales,Unknown,eb319e0714095bc9f9517317e9040f125b8de8d4,,,,,,,,,,,,,
misc,misc,acddbb2edb475d3a5fd127075dc146eb9ba94e0e,,,,,,,,,,,,,
misc,misc,bd4783a20926f4486e97351c3cc30b764c532482,,,,,,,,,,,,,
marketing_sales,supplychain_manufacturing,dc01dcef18ba7b6eb477d0cb2950ac40469ec3f9,,,,,,,,,,,,,
executive_or_management,finance,cb2508a49cae4dd2b0c2d7895ed90342690afebe,,,,,,,,,,,,,
engineer,tech,d4aea40e1a87586350a1bafa25f20aab746bab69,,,,,,,,,,,,,
executive_or_management,finance,540e55ee5ebbd9b72719df9ec9a3348063c1afcf,,,,,,,,,,,,,
executive_or_management,misc,522ca47f988b10054dcd79d9695c5a140153e87b,,,,,,,,,,,,,
engineer,supplychain_manufacturing,7fa9e2d86a4b252563ed5060c9f5c3330715eb22,,,,,,,,,,,,,
executive_or_management,Unknown,bb6c30bd562d6ce96ab5932717f50053818b10a2,,,,,,,,,,,,,
engineer,tech,789337ab31009121a8255ef3800310b53152cef1,,,,,,,,,,,,,
executive_or_management,tech,6ea2744a8f88c8663fb53a91054652234fc588bb,,,,,,,,,,,,,
marketing_sales,tech,aaba537fd69abf342de8bf91ca0111e8a9354d1b,,,,,,,,,,,,,
executive_or_management,tech,0fb2fd6880682a6e72ed22f402c35dff0fb5f43c,,,,,,,,,,,,,
executive_or_management,tech,f58928b5ff3743d4b8d9132e9a016cb9a3c83f9d,,,,,,,,,,,,,
misc,Unknown,12bb2720e5010b07673fda5a593f417e21af34f8,,,,,,,,,,,,,
executive_or_management,tech,55e3cd918201ea6b25579d8be8f20f31aa8616a8,,,,,,,,,,,,,
engineer,tech,cb967526e20d313c28e352c2978dd466abd110c5,,,,,,,,,,,,,
operations_supplychain,misc,e79e4e5df9d97364ddb29c8b000392b119889376,,,,,,,,,,,,,
executive_or_management,finance,f745bb520d7f1b273c663e9266e2b095de9e3210,,,,,,,,,,,,,
operations_supplychain,tech,8e908bceb1a1f4dc77dfcf6b6098b23108018a02,,,,,,,,,,,,,
executive_or_management,tech,0663cdd459eb220bcb44cbed2a36a619b3b15f2e,,,,,,,,,,,,,
engineer,misc,eab053933e3d408157d8f599326738ad56ef0d91,,,,,,,,,,,,,
engineer,government,a9bef83dd374f82462383e51348ad1af1bb2fcb6,,,,,,,,,,,,,
marketing_sales,tech,436c528bb8daa44a6c4a438b2b2948358dca5701,,,,,,,,,,,,,
engineer,tech,2f55c823b39a9abe83e13dedc5627e8b6d47ce5f,,,,,,,,,,,,,
operations_supplychain,supplychain_manufacturing,67a965704d2300ae0bfa0bdfe20d7ddb3755c1e8,,,,,,,,,,,,,
executive_or_management,misc,eca1730be2578758271ba4c636b846b0c65b06d1,,,,,,,,,,,,,
executive_or_management,finance,8677372147c1457b6387560b063096a0eebf3a7f,,,,,,,,,,,,,
executive_or_management,tech,cc1f244ce0bc10070de975c9ed264a3516be53e0,,,,,,,,,,,,,
executive_or_management,misc,43084704bc24671fba35b2497d0f17fd34b528e8,,,,,,,,,,,,,
education,tech,e5f4401b9719956d8ea1af3dac94dbec7f41af1f,,,,,,,,,,,,,
executive_or_management,misc,706d8ba253d122a3e348eeab33f4ed91e38150b7,,,,,,,,,,,,,
engineer,tech,c437ae3b6f58b13426799baeba4c81cb59308319,,,,,,,,,,,,,
engineer,tech,8f3320fcb044b0f80725d22ad15752a6a46e1c8d,,,,,,,,,,,,,
