,profileIdHashed,Position,Company,position_type,company_type,,,,
0,058b92d6c47c4f8e29b302b30a1fff4a21ba9d36,Machine Learning Engineer,Square,engineer,tech,,,Position categories,Company categories
1,e943ba6d3c0eb8589df32a873ab5772c8f77c68f,Chief Executive Officer,SPHYNX CAPITAL ,executive,finance,,,engineer,tech
2,2b61d867096b8f9f10fcc1cdb832f39cc2bee792,Marketing Operation Manager,èæ³,marketing_sales,misc,,,executive_or_management,finance
3,aab28ab62a542ca975515592435e057353cbb684,Sales Operations Manager,å­èè·³å¨,marketing_sales,misc,,,marketing_sales,consulting
4,acddbb2edb475d3a5fd127075dc146eb9ba94e0e,Business Strategy Consultant,Hexion Malveux,marketing_sales,tech,,,operations_supplychain,supplychain_manufacturing
5,bd4783a20926f4486e97351c3cc30b764c532482,Asia America MultiTechnology Association,AAMA Silicon Valley,misc,misc,,,finance,government
6,dc01dcef18ba7b6eb477d0cb2950ac40469ec3f9,Strategy Manager 3M Latin America,3M,marketing_sales,tech,,,legal,nonprofit_ngo
7,cb2508a49cae4dd2b0c2d7895ed90342690afebe,"MD & Head, Project & Export Finance, EMEA & Pakistan. Head Corporate Finance, AME",Standard Chartered Bank,executive,finance,,,misc,legal
8,d4aea40e1a87586350a1bafa25f20aab746bab69,Data Scientist,Robi Axiata Limited,engineer,tech,,,education,misc
9,540e55ee5ebbd9b72719df9ec9a3348063c1afcf,Director,saqrinvestmentgroup,executive,finance,,,,education
10,522ca47f988b10054dcd79d9695c5a140153e87b,Director Of Operations,y&s auto body shop,executive,,,,,
11,7fa9e2d86a4b252563ed5060c9f5c3330715eb22,Data Scientist,ASML,,,,,,
12,bb6c30bd562d6ce96ab5932717f50053818b10a2,Co-Founder & CEO,"Vision Sistemas de LocalizaciÃ³n, S.L.",,,,,,
13,789337ab31009121a8255ef3800310b53152cef1,Solution Architect - AI Center of Excellence - Milestone Technology Inc.,Artificial Intelligence *SME*,,,,,,
14,6ea2744a8f88c8663fb53a91054652234fc588bb,Sr. Director of Operations for USMO,Mercury Systems,,,,,,
15,aaba537fd69abf342de8bf91ca0111e8a9354d1b,Commercial Client Product Marketing,Dell Technologies,,,,,,
16,0fb2fd6880682a6e72ed22f402c35dff0fb5f43c,"CTO, Co-Founder",Master AI,,,,,,
17,f58928b5ff3743d4b8d9132e9a016cb9a3c83f9d,Advisory Board,ShrubBucket,,,,,,
18,12bb2720e5010b07673fda5a593f417e21af34f8,External Mentor of XJTLU University(è¥¿äº¤å©ç©æµ¦å¤§å­¦æ ¡å¤å¯¼å¸),è¥¿äº¤å©ç©æµ¦å¤§å­¦,education,education,,,,
19,55e3cd918201ea6b25579d8be8f20f31aa8616a8,"Vice President, Americas Professional Services",Cloudera,executive,tech,,,,
20,cb967526e20d313c28e352c2978dd466abd110c5,"Sr. PgM, Android Security",Google,,,,,,
21,e79e4e5df9d97364ddb29c8b000392b119889376,Senior Operations Manager,WeDriveU,,,,,,
22,f745bb520d7f1b273c663e9266e2b095de9e3210,"Chief Data Scientist, Partner",X10 Capital,,,,,,
23,8e908bceb1a1f4dc77dfcf6b6098b23108018a02,Strategy and Advising Manager ,Cloudera Fast Forwards Labs,,,,,,
24,0663cdd459eb220bcb44cbed2a36a619b3b15f2e,Director of Operations,WiLine Networks,,,,,,
25,eab053933e3d408157d8f599326738ad56ef0d91,Data Engineer,Self Emplyoed,,,,,,
26,a9bef83dd374f82462383e51348ad1af1bb2fcb6,Supervisory Mechanical Engineer,US Army Corps of Engineers,,,,,,
27,436c528bb8daa44a6c4a438b2b2948358dca5701,"Product Marketing Manager, Threat Prevention","Check Point Software Technologies, Ltd.",,,,,,
28,2f55c823b39a9abe83e13dedc5627e8b6d47ce5f,Data Engineer - Google PSO,Quantiphi,,,,,,
29,67a965704d2300ae0bfa0bdfe20d7ddb3755c1e8,Materials Supervisor,Jabil,,,,,,
30,eca1730be2578758271ba4c636b846b0c65b06d1,Founder,Candidly Speaking,,,,,,
31,8677372147c1457b6387560b063096a0eebf3a7f,Managing Director,"Charles Towne Holdings, LLC",,,,,,
32,cc1f244ce0bc10070de975c9ed264a3516be53e0,Founder/CEO,stealth,,,,,,
33,43084704bc24671fba35b2497d0f17fd34b528e8,Executive Director,B'nai David-Judea Congregation,,,,,,
34,e5f4401b9719956d8ea1af3dac94dbec7f41af1f,Research Scientist,OpenAI,,,,,,
35,706d8ba253d122a3e348eeab33f4ed91e38150b7,Founder,Co-Nect,,,,,,
36,c437ae3b6f58b13426799baeba4c81cb59308319,Senior Software Engineer,Walmart Labs,,,,,,
37,8f3320fcb044b0f80725d22ad15752a6a46e1c8d,Lead Data Scientist,OLX Group,,,,,,
38,28852be1eecba434a803819a7a56cabd61065a9b,Advisory Process Engineer,NY-Company,,,,,,
39,e157078ac59e87099d8a6c9b729d86249f88b6d9,"Partner, Director of Marketing & Growth",iindividual,,,,,,
40,32d7338611b6e24d57201c7799d65e68373a2c28,COO,"shenzhen Jiahaoting eletronic co.,LTD",,,,,,
41,d8111200a505629c005a6bcc605fd500756bfef9,Relationship Manager,Movemeback,,,,,,
42,3d25ae948d7cee6f5b4f3340a0585173b5ef0bf3,Technical Recruiter,Sohum Inc,,,,,,
43,3770702c423b0ab30964097b01b84b6ae3d5cd02,iOS Engineering Fellow,Formation,,,,,,
44,4dfd8addb62cd145c80ab963e9348587cd8d0eb8,Senior Engineer Mechanics,INNOLUXç¾¤åµåé»,,,,,,
45,a6ab836f2b69c8e2771501e4ee9ca559c0203233,Executive Director - Channel Mgmt,Lenovo,,,,,,
46,711e31d13d23c0dd205a474488036363079bd337,Senior Associate,youngStartup Ventures,,,,,,
47,98f4d7cbc7bab723f9e03bd2a0706a09821dc21c,Chairman & Board Member,OneWave,,,,,,
48,4acb45494d9593a2be205c29c957f5ee925d9715,Chairman of the Board,"Xmultiple Technologies, Inc.",,,,,,
49,5c698f302be4921f2b0088f7f09590cadffb0ab5,Retail Solution Architect,Zebra Technologies,,,,,,
50,8914d01609d7a9e03e49bb59c3657583680fc773,Associate Director,Tallahassee Community College Wakulla Environmental Institute,,,,,,
51,375201673464b7bf4a7a7b0121e94631e085ad55,Finance Manager,Amazon Web Services (AWS),,,,,,
52,c65d48cb19ae3e50ab5fe6f01c3a03457883cedd,Executive Search,HeadRace,,,,,,
53,7efff9a0eb94263c954155206d4fa5e8434cdcd3,Inclusion Program Manager,Unity Technologies,,,,,,
54,eefeaa236116cd99e1c2517f5d8aedd437242bed,Sales & Event Manager,"The Overlook Event Venue, at The Port Workspaces",,,,,,
55,ad63f970d01947ce1b2a9a14c92103c4252a0e86,R&D Head | Research Projects | Advanced Software Systems,Nurjana Technologies,,,,,,
56,0c3ce966631f53d17213530e29ade21be76c708d,Software Engineer Apprentice (REACH),LinkedIn,,,,,,
57,6173b8b4667bc9e602343487d1eb0bc92c2d9f4f,Principal Broker & Member,"TrueLife Financial Solutions, LLC",,,,,,
58,07f15d942762bb1424808b8ed7f49aa81e697a6a,Senior Data Engineer,HomeLight,,,,,,
59,1bca572048bf17eb04c2ace3579e56cf199d3a48,Graybar District Manager,General Electric Lighting,,,,,,
60,e4410a530ce48e574254e2d4a9bad90480f6397b,"Online Lead Gen., Snr. Dir. of Marketing",Symantec,,,,,,
